"Gene","p_value","log2FC","pct.1","pct.2","q_value","neg_log10_p","Classification"
"Ifnar2",2.51033866373432e-78,0.785764083195731,0.224,0.084,5.52048575541813e-74,73.2580227063983,"NO"
"Myrip",2.83541449832678e-78,0.705107471556759,0.17,0.048,6.23536002327043e-74,73.2051384657451,"NO"
"Tpd52l2",2.85031440566625e-78,0.738519111508218,0.183,0.057,6.26812640950066e-74,73.2028622536848,"NO"
"Pea15a",2.97960804349935e-78,1.22116495903087,0.131,0.027,6.55245604845943e-74,73.1835958834642,"UP"
"Gpr45",3.1868177689438e-78,1.49586568887325,0.117,0.019,7.00813095568431e-74,73.1543977914291,"UP"
"Aamdc",4.48351520476303e-78,1.13292102752939,0.14,0.032,9.85969828679438e-74,73.0061363745502,"UP"
"Adam11",4.6417889844883e-78,1.39006518844359,0.122,0.022,1.02077581557882e-73,72.9910696278912,"UP"
"Bptf",4.64384961447749e-78,0.23874861527713,0.586,0.333,1.02122896871974e-73,72.9908768742666,"NO"
"Spsb1",4.976791562583e-78,0.392990664887587,0.276,0.118,1.09444623252763e-73,72.9608055694,"NO"
"Patz1",5.07705792897704e-78,0.7417891053543,0.219,0.08,1.11649580916134e-73,72.9521429027417,"NO"
"Cryab",5.60276783586841e-78,1.42709079703608,0.121,0.022,1.23210467478582e-73,72.9093523946466,"UP"
"Dlc1",6.11666037175817e-78,1.0184688419661,0.251,0.104,1.34511478235334e-73,72.8712406545346,"UP"
"Oscp1",6.88587773643678e-78,1.8031375579548,0.11,0.016,1.51427337301981e-73,72.8197957142173,"UP"
"Ldb2",8.10063912837253e-78,1.19796708936195,0.16,0.044,1.7814115507204e-73,72.7492357360341,"UP"
"Zfhx2",8.31186354875391e-78,0.608730215449042,0.206,0.071,1.82786191300647e-73,72.7380566164165,"NO"
"Abhd6",9.01768521486691e-78,1.08951703545024,0.147,0.036,1.98307915560138e-73,72.7026599503662,"UP"
"L1cam",1.01688526204266e-77,-2.45547800012638,0.067,0.169,2.23623237975801e-73,72.6504830684051,"DOWN"
"Fam135a",1.10683966708543e-77,0.465945948241987,0.316,0.146,2.43405111188758e-73,72.6136703063945,"NO"
"Arhgap33",1.17148392653028e-77,1.1219268161925,0.12,0.021,2.57621030283274e-73,72.5890186872626,"UP"
"Car14",1.3256271764929e-77,1.95368408759345,0.103,0.013,2.91518672382554e-73,72.5353336225414,"UP"
"Nrg3",1.35631540840837e-77,0.599108261624612,0.374,0.189,2.98267321463085e-73,72.5253943258725,"NO"
"Aldh7a1",1.4551407317347e-77,0.738876088321427,0.172,0.051,3.19999998315778e-73,72.4948500239659,"NO"
"Elavl4",1.46218629923353e-77,1.4496591706128,0.125,0.024,3.21549389064445e-73,72.4927523112288,"UP"
"Senp6",1.64005111467241e-77,0.24606500921522,0.417,0.212,3.60663640627609e-73,72.4428976377502,"NO"
