ens_id,gene,log2FC,aveEXP,t,p-value,q-value
ENSG00000101751,POLI,0.73,3.51,11.61,1.12E-25,1.32E-26
ENSG00000101752,MIB1,0.69,2.75,10.56,3.81E-22,4.14E-23
ENSG00000101773,RBBP8,2.15,3.72,34.31,3.91E-102,1.02E-101
ENSG00000101782,RIOK3,1.19,4.42,21.13,7.59E-60,2.29E-60
ENSG00000101811,CSTF2,1.22,3.19,21.17,5.34E-60,1.61E-60
ENSG00000101825,MXRA5,1.86,1.32,14.66,1.74E-36,2.69E-37
ENSG00000101842,VSIG1,-0.14,0.34,-4.24,3.06E-05,2.12E-06
ENSG00000101843,PSMD10,1.29,5.65,26.21,3.17E-77,1.82E-77
ENSG00000101844,ATG4A,0.98,2.9,21.88,1.73E-62,5.74E-63
ENSG00000101846,STS,-0.44,2.39,-5.75,2.39E-08,1.82E-09
ENSG00000101849,TBL1X,0.3,3.04,3.85,0.000149,1.01E-05
ENSG00000101850,GPR143,-1.24,1.56,-17.8,7.12E-48,1.49E-48
ENSG00000101856,PGRMC1,0.84,6.46,11.88,1.30E-26,1.56E-27
ENSG00000101868,POLA1,1.39,2.33,20.8,1.08E-58,3.13E-59
ENSG00000101871,MID1,1.16,2.4,14.73,9.65E-37,1.50E-37
ENSG00000101882,NKAP,0.62,2.61,13.23,2.30E-31,3.11E-32
ENSG00000101883,RHOXF1,-1.12,0.89,-17.37,2.42E-46,4.86E-47
ENSG00000101888,NXT2,2.21,2.96,33.72,1.90E-100,4.33E-100
ENSG00000101898,MCTS2,0.61,1.74,8.54,8.55E-16,7.94E-17
ENSG00000101901,ALG13,0.93,4.62,17.25,7.15E-46,1.42E-46
ENSG00000101911,PRPS2,0.65,3.6,7.79,1.34E-13,1.18E-14
ENSG00000101916,TLR8,0.98,0.69,13.83,1.75E-33,2.49E-34
ENSG00000101928,MOSPD1,1.45,2.84,30.62,3.07E-91,3.81E-91
ENSG00000101935,AMMECR1,0.59,1.38,11.89,1.23E-26,1.49E-27
ENSG00000101938,CHRDL1,-0.86,3.18,-6.17,2.34E-09,1.83E-10
ENSG00000101940,WDR13,0.06,6.78,1.02,0.31,0.0179
ENSG00000101945,SUV39H1,0.96,2.85,16.4,8.76E-43,1.60E-43
ENSG00000101955,SRPX,4.26,4.2,29.93,4.02E-89,4.42E-89
ENSG00000101958,GLRA2,-0.4,0.99,-4.03,7.07E-05,4.84E-06
ENSG00000101966,XIAP,0.9,3.69,17.78,8.24E-48,1.72E-48
ENSG00000101972,STAG2,1.51,4.21,21.12,8.18E-60,2.46E-60
ENSG00000101974,ATP11C,1.14,2.04,18.01,1.21E-48,2.60E-49
ENSG00000101977,MCF2,-1.86,1.4,-25.39,1.60E-74,8.14E-75
ENSG00000101986,ABCD1,1.52,2.61,22.7,2.32E-65,8.43E-66
ENSG00000101997,CCDC22,0.5,3.59,8.61,5.43E-16,5.07E-17
ENSG00000102001,CACNA1F,-0.63,0.42,-22.27,7.52E-64,2.59E-64
ENSG00000102003,SYP,-3.09,6.03,-21.22,3.52E-60,1.07E-60
ENSG00000102007,PLP2,3.65,4.99,29.05,2.27E-86,2.10E-86
ENSG00000102024,PLS3,1.47,5.27,14,4.17E-34,6.05E-35
ENSG00000102030,NAA10,0.49,6.59,9.67,2.97E-19,3.01E-20
ENSG00000102032,RENBP,1.02,3.94,12.51,8.12E-29,1.03E-29
ENSG00000102034,ELF4,1.62,1.51,20.85,7.35E-59,2.14E-59
ENSG00000102038,SMARCA1,1.12,4.12,14.44,1.09E-35,1.65E-36
ENSG00000102043,MTMR8,0.08,0.33,2.57,0.0106,0.00067
ENSG00000102048,ASB9,0.95,0.86,17.13,1.81E-45,3.54E-46
ENSG00000102053,ZC3H12B,-1.03,0.98,-15.79,1.43E-40,2.46E-41
ENSG00000102054,RBBP7,1.14,6.53,21.81,2.90E-62,9.54E-63
ENSG00000102057,KCND1,0.38,1.89,5.32,2.08E-07,1.55E-08
ENSG00000102078,SLC25A14,-0.21,4.01,-3.61,0.00036,2.40E-05
ENSG00000102081,FMR1,0.01,4.27,0.22,0.824,0.0457
ENSG00000102096,PIM2,-0.14,3.24,-2.06,0.0403,0.00246
ENSG00000102098,SCML2,0.42,1.16,6.6,2.03E-10,1.64E-11
