"Gene","logFC_mouse","AveExpr","t","PValue","FDR","B","padj","negLog10P","Classification"
"Adgre5",0.369649836810458,3.47940611029439,0.978236680426673,0.354226589653578,0.474776756391971,-6.12334596792108,0.474776756391971,0.323510550917535,"NO"
"Ankrd10",-0.393287896943207,6.77691705238555,-1.20360769642496,0.26029158447591,0.378734125624212,-6.12341828355115,0.378734125624212,0.421665561257396,"NO"
"Npepps",0.387629126403578,7.61316504962297,1.15459902028053,0.278812040511295,0.398168794406737,-6.12365656412461,0.398168794406737,0.399932779838531,"NO"
"Slc16a1",0.429605578766529,3.31425936286132,0.954908405836802,0.365258663739247,0.485365157059837,-6.12391528954743,0.485365157059837,0.313931403611372,"NO"
"Zfp558",-0.096658345936398,1.41204669591469,-0.19170513883304,0.852347861611494,0.898628688848021,-6.12425935593487,0.898628688848021,0.0464197206088946,"NO"
"Rab21",-0.505369214735126,6.37093604796386,-1.21332329371338,0.25674151260665,0.374854703494181,-6.12427752552437,0.374854703494181,0.426137035468121,"NO"
"Ppp2r2d",0.323263025191018,5.12280619683084,1.17247518986959,0.271937268138549,0.391123259236382,-6.12434352179449,0.391123259236382,0.407686356746271,"NO"
"Nek8",0.236457499727722,2.0336078317326,0.553112551457764,0.594033582768473,0.692122991606183,-6.12434635911499,0.692122991606183,0.159816723708463,"NO"
"Gm32647",0.630375321542053,4.18807715093714,1.09280036591702,0.30365319395879,0.42299895184025,-6.1244913457993,0.42299895184025,0.373660708772852,"NO"
"Atp10a",-0.482554248263853,6.07228970715986,-1.21353696157823,0.256663885393486,0.374809276640215,-6.12481937024309,0.374809276640215,0.426189668734636,"NO"
"Nckap5l",-0.332752519353779,5.37482788547589,-1.19894054796894,0.262011134409233,0.380651892377102,-6.1249822674711,0.380651892377102,0.419472006808827,"NO"
"Stk26",-0.300282587067425,1.72345342646964,-0.499273563759636,0.629897881720242,0.723382368234952,-6.12505503986743,0.723382368234952,0.140632080965036,"NO"
"Aebp2",0.443857816095725,6.43218599890809,1.18473978754952,0.267300106920315,0.386342026776488,-6.12552486880387,0.386342026776488,0.413028046179935,"NO"
"Btbd16",0.684494844510121,2.0245216916305,0.566923779296576,0.585013055880593,0.684334064641913,-6.12557549848121,0.684334064641913,0.164731841243209,"NO"
"Ell",0.331060417499401,5.77902895576828,1.19042554162778,0.265172184524351,0.384032613748603,-6.12605780928074,0.384032613748603,0.415631891857465,"NO"
"Bcl2l15",0.109441142927794,1.45380988628162,0.215554772321732,0.834275292821171,0.88600860751934,-6.1261652752348,0.88600860751934,0.0525620589481702,"NO"
"Klf5",-0.374716404213458,3.33061284472559,-0.974848478232901,0.35581335050064,0.476111587235829,-6.12632861587953,0.476111587235829,0.322291248873432,"NO"
"Entpd3",-0.118794574629752,1.44195385877151,-0.232165180694954,0.82174842584456,0.876807311368573,-6.12656993853853,0.876807311368573,0.0570958374251856,"NO"
"Nup50",-0.356856021548877,4.8745280452645,-1.17378808745315,0.271437787195178,0.390544717296446,-6.12677457714004,0.390544717296446,0.40832923230338,"NO"
"Tmem251",0.253869529138352,2.09523875229981,0.6007382677743,0.563249035273206,0.665297673150321,-6.12683771922719,0.665297673150321,0.176983995477358,"NO"
"Gm10563",-0.292793441888602,2.12380428827463,-0.628456610268978,0.545757066742364,0.650261156412716,-6.12743356665237,0.650261156412716,0.186912187956517,"NO"
"Jmjd7",0.0984115761998518,1.40460124269802,0.171423238891209,0.867789649552706,0.909376291838963,-6.12781874411755,0.909376291838963,0.0412563723848471,"NO"
